Student-ID,Total-Tuition-Fee,Additional-Fees,Paid-Amount,Payment-Deadline
2022515689,35000,0,35000,03/15/2024
2022394915,35000,0,29000,07/28/2024
2020394453,49000,150,49000,11/09/2024
2024178625,60000,1000,49000,03/15/2024
2017566690,35000,0,16000,07/28/2024
2020476627,60000,500,30000,11/09/2024
2018650514,49000,0,7000,03/15/2024
2024627458,60000,0,40000,07/28/2024
2024120883,35000,900,12000,11/09/2024
2021253392,35000,900,28000,03/15/2024
2022866480,35000,150,5700,07/28/2024
2017352377,49000,0,10000,11/09/2024
2021529203,53000,150,27000,03/15/2024
2024129253,49000,0,49000,07/28/2024
2017639860,53000,0,48000,11/09/2024
